id,su,plot,site,longitude,latitude,geometry,species,inventory_date,soil_sampling_date,agb,bgb,total_biomass,cagb,cbgb,soil_carbon_stock,total_carbon_stock,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,VV,VH
SU6P2,6,P2,Sassandra,-6.092795333155152,4.962426513558693,"POLYGON ((-6.092669247940375 4.962372029311559, -6.0928316246176735 4.9622937201382245, -6.0929214183925335 4.962480997797295, -6.092759041654127 4.962559306971674, -6.092669247940375 4.962372029311559))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-07,2025-02-17,132.294,43.115,175.407,66.146,16.815,694.95,777.911,0.438799990536803,0.4146257595490601,0.4059172855847973,0.3984399922065816,0.446354993268595,0.4769993279192409,0.4979126243520591,0.4825989765635993,0.502784158946094,0.7075312103255321,0.4475449146608176,0.3975227147593337,-10.23361232274036,-16.67349773893142
SU6P3,6,P3,Sassandra,-6.092902186542934,4.962649371509562,"POLYGON ((-6.092776101275718 4.962594887253158, -6.092938478025736 4.962516578078583, -6.093028271832755 4.962703855757431, -6.092865895021629 4.962782164933058, -6.092776101275718 4.962594887253158))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-07,2025-02-17,78.703,36.898,115.601,39.352,14.39,640.244,693.986,0.4980739616457944,0.5178425751872948,0.4999555491915791,0.4885184083882786,0.5064035623734839,0.5197429038691662,0.5360850707467478,0.5386897371521029,0.5346995033987302,0.7809863505573773,0.4685721780608728,0.4271793036616585,-12.069532642808166,-18.797136635272484
SU6P4,6,P4,Sassandra,-6.093004888875403,4.962863571790633,"POLYGON ((-6.092878803557786 4.962809087525321, -6.093041180377695 4.962730778349547, -6.0931309742156285 4.962918056047407, -6.092968597334608 4.962996365224231, -6.092878803557786 4.962809087525321))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-07,2025-02-17,51.119,23.71,74.829,25.56,9.248,585.212,620.019,0.5666763969743585,0.5631817160371396,0.5312728116716195,0.5046025455300833,0.5471446011956721,0.541723607456553,0.5570530162636855,0.565189833463399,0.558923969068939,0.869189433330807,0.4845912817875072,0.4457090685521011,-14.193018011471109,-20.55051984654224
SU6P5,6,P5,Sassandra,-6.0930988969192565,4.963059638854056,"POLYGON ((-6.0929728115555015 4.963005154580598, -6.09313518843939 4.962926845403725, -6.093224982305621 4.963114123118982, -6.09306260536062 4.9631924322969025, -6.0929728115555015 4.963005154580598))",Palétuvier rouge (Rhizophora mangle),2025-02-07,2025-02-17,61.756,28.222,89.978,30.878,11.006,453.152,495.036,0.569100022315979,0.6166918584350812,0.5919620331566213,0.5681305096816208,0.5985068597530916,0.6011617842367141,0.6094996598312411,0.6041803425146361,0.607482365834511,0.8726000189781189,0.521581519887609,0.4917837382878288,-12.5343817854514,-19.18987627868637
SU7P1,7,P1,Sassandra,-6.093312382523248,4.963410354180768,"POLYGON ((-6.093187191296397 4.96335383385607, -6.093350808698928 4.963278166128249, -6.093437573773073 4.963466874497456, -6.093273956308703 4.963542542224931, -6.093187191296397 4.96335383385607))",Palétuvier rouge (Rhizophora mangle),2025-02-08,2025-02-17,60.834,31.462,92.296,30.417,12.27,863.46,906.147,0.609499990940094,0.6375691429033118,0.6042711945408482,0.5910766032287629,0.6344201650659916,0.6275250771288143,0.6409787450806569,0.6240057556811026,0.634206437559451,0.9168999791145324,0.5444935561236688,0.5052197640730162,-11.616751535873638,-19.4828184496374
SU7P2,7,P2,Sassandra,-6.093409617508078,4.963621833973671,"POLYGON ((-6.093284426232707 4.963565313639464, -6.093448043704537 4.96348964591203, -6.0935348088064245 4.963678354299869, -6.093371191272754 4.963754022026959, -6.093284426232707 4.963565313639464))",Palétuvier rouge (Rhizophora mangle),2025-02-08,2025-02-17,119.665,61.676,181.341,59.832,24.053,901.712,985.598,0.6028109117143746,0.624662158248992,0.5936491089690852,0.5737229453417128,0.605815847479217,0.6101707765654324,0.6173122028593891,0.6072779046489868,0.6043835713336471,0.906235626902649,0.5198519726510175,0.4761222748308238,-8.920635517119832,-16.617107669481488
SU7P3,7,P3,Sassandra,-6.093508359005567,4.963836590286189,"POLYGON ((-6.093383167680923 4.963780069942325, -6.09354678522313 4.963704402215283, -6.09363355035319 4.963893110622045, -6.093469932749143 4.963968778348743, -6.093383167680923 4.963780069942325))",Palétuvier rouge (Rhizophora mangle),2025-02-08,2025-02-17,38.177,20.667,58.844,19.089,8.06,804.264,831.412,0.5777468120113053,0.5570428455713744,0.5468189695898908,0.533044533821408,0.5603037318569638,0.5612650205279487,0.5656579268069515,0.5580552025027038,0.5640880685050442,0.8556333468891019,0.4790525799782775,0.4219365839883496,-8.210449996149428,-14.735105114467162
SU7P4,7,P4,Sassandra,-6.093599072056308,4.964033885208531,"POLYGON ((-6.093473880686393 4.963977364855794, -6.093637498293253 4.963901697129112, -6.093724263449202 4.96409040555325, -6.0935606457804985 4.964166073279596, -6.093473880686393 4.963977364855794))",Palétuvier blanc (Laguncularia racemosa),2025-02-08,2025-02-17,9.458,5.1,14.558,4.729,1.989,428.158,434.876,0.5684999823570251,0.5079145017471022,0.4836858373460778,0.4646972000497797,0.5106009552800322,0.5203634408492979,0.5342185837015244,0.5187972876558474,0.5354962777646545,0.8428999781608582,0.4510045804342443,0.3950007580366045,-8.442844838049439,-15.656480960754314
SU7P5,7,P5,Sassandra,-6.093695382577887,4.96424335421746,"POLYGON ((-6.093570191159905 4.964186833855312, -6.093733808835411 4.964111166129003, -6.093820574018845 4.964299874571594, -6.093656956281498 4.964375542297565, -6.093570191159905 4.964186833855312))",Palétuvier blanc (Laguncularia racemosa),2025-02-08,2025-02-17,19.181,9.705,28.886,9.59,3.785,779.22,792.595,0.596838390464105,0.6368060900172607,0.6014923777071959,0.574476823992334,0.6109672541243172,0.6059478097256469,0.6134396810620367,0.6284632910730068,0.6056923139619746,0.8724939013293954,0.5199088109830512,0.4633973746382444,-8.553870589745493,-15.671830623702776
SU8P1,8,P1,Sassandra,-6.100910148094519,4.963724130460439,"POLYGON ((-6.101022457837467 4.963803326675926, -6.1008475421631525 4.963846673309097, -6.100797838377093 4.96364493424307, -6.1009727539860314 4.963601587593614, -6.101022457837467 4.963803326675926))",Palétuvier blanc (Laguncularia racemosa),2025-02-09,2025-02-18,486.543,117.203,603.744,243.27,45.708,613.648,902.628,0.0389138144425163,0.0533919495735633,0.0781434748637474,0.0646399153175495,0.1171094943279937,0.2324800844414759,0.274310506602465,0.2637532190498659,0.2995299967416263,0.2703550089971493,0.1428645747445397,0.0737964420311026,-6.580228099945799,-13.175917536844096
